className,method,score
cn.nc.issuance.book.dcm.query.converter.PurchaseHistoryTaskConverterImpl,cn.nc.issuance.book.dcm.query.converter.PurchaseHistoryTaskConverterImpl#toPoList,5
cn.nc.user.staff.service.dto.MessageDto,cn.nc.user.staff.service.dto.MessageDto#getMessageType,1
cn.nc.issuance.book.dcm.query.facade.controller.pricingplacing.BondCreateReachedBookController,cn.nc.issuance.book.dcm.query.facade.controller.pricingplacing.BondCreateReachedBookController#handle,1
cn.nc.common.transaction.support.config.TransactionSupportProperties.TransactionRetry,cn.nc.common.transaction.support.config.TransactionSupportProperties.TransactionRetry#getBusinessType,1
cn.nc.issuance.book.dcm.query.facade.controller.systemadmin.SendPurchaseDetailQueryController,cn.nc.issuance.book.dcm.query.facade.controller.systemadmin.SendPurchaseDetailQueryController#handle,1
cn.nc.message.head.req.ReqHeader,cn.nc.message.head.req.ReqHeader#setServTpCd,0
cn.nc.issuance.book.dcm.query.service.dto.directinvestor.DirectInvestorAdminResultDto,cn.nc.issuance.book.dcm.query.service.dto.directinvestor.DirectInvestorAdminResultDto#getBusiTypeName,1
cn.nc.user.ind.converter.UserConverterImpl,cn.nc.user.ind.converter.UserConverterImpl#toDto,4
cn.nc.issuance.common.service.impl.BussinessAllBillsQueryServiceImpl,cn.nc.issuance.common.service.impl.BussinessAllBillsQueryServiceImpl#innerQuery,1
cn.nc.issuance.book.dcm.query.converter.UnderwriterRatioinfoTaskConverterImpl,cn.nc.issuance.book.dcm.query.converter.UnderwriterRatioinfoTaskConverterImpl#toPoList,5
cn.nc.user.reguser.facade.controller.UnbindThirdUserController,cn.nc.user.reguser.facade.controller.UnbindThirdUserController#unbindThirdUserByCheckcode,1
cn.nc.channel.mix.service.IssuanceQueryService,cn.nc.channel.mix.service.IssuanceQueryService#queryContactInfo,0
cn.nc.issuance.book.dcm.service.dto.PlacingResultEntity,cn.nc.issuance.book.dcm.service.dto.PlacingResultEntity#getOrganizationPhone,1
cn.nc.user.ukey.facade.controller.GetUkeyExpressDetailsController,cn.nc.user.ukey.facade.controller.GetUkeyExpressDetailsController#doService,1
cn.nc.issuance.dist.facade.controller.DistHisAgreDetailQueryController,cn.nc.issuance.dist.facade.controller.DistHisAgreDetailQueryController#doService,1
cn.nc.issuance.book.dcm.service.impl.ConsigneeGroupServiceImpl,cn.nc.issuance.book.dcm.service.impl.ConsigneeGroupServiceImpl#getPublisherName,6
cn.nc.issuance.book.dcm.service.impl.ConsigneeGroupServiceImpl,cn.nc.issuance.book.dcm.service.impl.ConsigneeGroupServiceImpl#stopGroup,19
cn.nc.pub.msg.service.dto.productInstance.BookDcmProductInstanceDto,cn.nc.pub.msg.service.dto.productInstance.BookDcmProductInstanceDto#setBondEnglishShortName,0
cn.nc.channel.msg.converter.NoticeTargetConverterImpl,cn.nc.channel.msg.converter.NoticeTargetConverterImpl#toDto,4
cn.nc.channel.auth.outer.service.dto.login.InstUserDto,cn.nc.channel.auth.outer.service.dto.login.InstUserDto#setBindusername,0
cn.nc.user.external.facade.controller.BussRoleListController,cn.nc.user.external.facade.controller.BussRoleListController#getInstRoleList,1
cn.nc.issuance.book.dcm.query.service.dto.querystatistics.PublishSuccBondInfoQueryDto,cn.nc.issuance.book.dcm.query.service.dto.querystatistics.PublishSuccBondInfoQueryDto#setBondType,0
cn.nc.channel.backend.service.impl.IdentityMappingQueryServiceImpl,cn.nc.channel.backend.service.impl.IdentityMappingQueryServiceImpl#queryRelIdentityMappingInfo,7
cn.nc.channel.auth.outer.service.AppMobileRegistrationService,cn.nc.channel.auth.outer.service.AppMobileRegistrationService#registerAppMobileUser,0
cn.nc.channel.backend.service.dto.homepage.PageDispOrderQueryReqDto,cn.nc.channel.backend.service.dto.homepage.PageDispOrderQueryReqDto#getTabType,1
cn.nc.issuance.book.dcm.service.dto.ComputeBase.AmountRela,cn.nc.issuance.book.dcm.service.dto.ComputeBase.AmountRela#getKey,1
cn.nc.user.cfaeuser.dto.CfaeRegisterUserDto,cn.nc.user.cfaeuser.dto.CfaeRegisterUserDto#getCard,1
cn.nc.operation.base.model.dto.task.ClaimResult,cn.nc.operation.base.model.dto.task.ClaimResult#setTasks,0
cn.nc.channel.search.support.IndexCreateSupport,cn.nc.channel.search.support.IndexCreateSupport#buildCreateIndexRequest,1
cn.nc.channel.mix.model.dto.DistributableBondQueryRequest,cn.nc.channel.mix.model.dto.DistributableBondQueryRequest#setDate,0
cn.nc.pub.msg.service.dto.productInstance.BookFinCcdcProductInstanceDto,cn.nc.pub.msg.service.dto.productInstance.BookFinCcdcProductInstanceDto#setAnnounceOptionDate,0
cn.nc.user.instuser.converter.InstUserHisConverter,cn.nc.user.instuser.converter.InstUserHisConverter#toInstUserPo4HisPo,0
cn.nc.user.inst.service.InstInfoHisService,cn.nc.user.inst.service.InstInfoHisService#batchDelete,0
cn.nc.pub.msg.service.ParameterQueryService,cn.nc.pub.msg.service.ParameterQueryService#query,0
